assignment_id,group,Map 1,Map 2,Map 3,Map 4,Map group,hasStarted,hasFinished
H013,High,2_incentivized_hard_seed2_10000000_80.json,2_incentivized_hard_4_seed2_7520000_100.json,2_forced_hard_seed4_10000000_80.json,2_forced_hard_4_seed7_9520000_80.json,O3,FALSE,FALSE
H014,High,2_incentivized_hard_seed2_10000000_80.json,2_incentivized_hard_4_seed2_7520000_100.json,2_forced_hard_seed4_10000000_80.json,2_forced_hard_4_seed7_9520000_80.json,O3,FALSE,FALSE
H015,High,2_incentivized_hard_4_seed2_7520000_100.json,2_forced_hard_seed4_10000000_80.json,2_forced_hard_4_seed7_9520000_80.json,2_incentivized_hard_seed2_10000000_80.json,O4,FALSE,FALSE
H016,High,2_incentivized_hard_4_seed2_7520000_100.json,2_forced_hard_seed4_10000000_80.json,2_forced_hard_4_seed7_9520000_80.json,2_incentivized_hard_seed2_10000000_80.json,O4,FALSE,FALSE
H017,High,2_forced_hard_seed5_10000000_80.json,2_forced_hard_4_seed7_10000000_80.json,2_incentivized_hard_seed3_10000000_80.json,2_incentivized_hard_4_seed3_9520000_100.json,O1,FALSE,FALSE
H018,High,2_forced_hard_seed5_10000000_80.json,2_forced_hard_4_seed7_10000000_80.json,2_incentivized_hard_seed3_10000000_80.json,2_incentivized_hard_4_seed3_9520000_100.json,O1,FALSE,FALSE
H019,High,2_forced_hard_4_seed7_10000000_80.json,2_incentivized_hard_seed3_10000000_80.json,2_incentivized_hard_4_seed3_9520000_100.json,2_forced_hard_seed5_10000000_80.json,O2,FALSE,FALSE
H020,High,2_forced_hard_4_seed7_10000000_80.json,2_incentivized_hard_seed3_10000000_80.json,2_incentivized_hard_4_seed3_9520000_100.json,2_forced_hard_seed5_10000000_80.json,O2,FALSE,FALSE
H021,High,2_incentivized_hard_seed3_10000000_80.json,2_incentivized_hard_4_seed3_9520000_100.json,2_forced_hard_seed5_10000000_80.json,2_forced_hard_4_seed7_10000000_80.json,O3,FALSE,FALSE
H022,High,2_incentivized_hard_seed3_10000000_80.json,2_incentivized_hard_4_seed3_9520000_100.json,2_forced_hard_seed5_10000000_80.json,2_forced_hard_4_seed7_10000000_80.json,O3,FALSE,FALSE
H023,High,2_incentivized_hard_4_seed3_9520000_100.json,2_forced_hard_seed5_10000000_80.json,2_forced_hard_4_seed7_10000000_80.json,2_incentivized_hard_seed3_10000000_80.json,O4,FALSE,FALSE
H024,High,2_incentivized_hard_4_seed3_9520000_100.json,2_forced_hard_seed5_10000000_80.json,2_forced_hard_4_seed7_10000000_80.json,2_incentivized_hard_seed3_10000000_80.json,O4,FALSE,FALSE
H025,High,2_forced_hard_seed8_10000000_80.json,2_forced_hard_4_seed9_8520000_80.json,2_incentivized_hard_seed4_10000000_80.json,2_incentivized_hard_4_seed4_9520000_100.json,O1,FALSE,FALSE
H026,High,2_forced_hard_seed8_10000000_80.json,2_forced_hard_4_seed9_8520000_80.json,2_incentivized_hard_seed4_10000000_80.json,2_incentivized_hard_4_seed4_9520000_100.json,O1,FALSE,FALSE
H027,High,2_forced_hard_4_seed9_8520000_80.json,2_incentivized_hard_seed4_10000000_80.json,2_incentivized_hard_4_seed4_9520000_100.json,2_forced_hard_seed8_10000000_80.json,O2,FALSE,FALSE
H028,High,2_forced_hard_4_seed9_8520000_80.json,2_incentivized_hard_seed4_10000000_80.json,2_incentivized_hard_4_seed4_9520000_100.json,2_forced_hard_seed8_10000000_80.json,O2,FALSE,FALSE
H029,High,2_incentivized_hard_seed4_10000000_80.json,2_incentivized_hard_4_seed4_9520000_100.json,2_forced_hard_seed8_10000000_80.json,2_forced_hard_4_seed9_8520000_80.json,O3,FALSE,FALSE
H030,High,2_incentivized_hard_seed4_10000000_80.json,2_incentivized_hard_4_seed4_9520000_100.json,2_forced_hard_seed8_10000000_80.json,2_forced_hard_4_seed9_8520000_80.json,O3,FALSE,FALSE
H031,High,2_incentivized_hard_4_seed4_9520000_100.json,2_forced_hard_seed8_10000000_80.json,2_forced_hard_4_seed9_8520000_80.json,2_incentivized_hard_seed4_10000000_80.json,O4,FALSE,FALSE
H032,High,2_incentivized_hard_4_seed4_9520000_100.json,2_forced_hard_seed8_10000000_80.json,2_forced_hard_4_seed9_8520000_80.json,2_incentivized_hard_seed4_10000000_80.json,O4,FALSE,FALSE
H033,High,2_forced_hard_seed9_10000000_80.json,2_forced_hard_4_seed9_9020000_80.json,2_incentivized_hard_seed5_10000000_80.json,2_incentivized_hard_4_seed5_9520000_100.json,O1,FALSE,FALSE
H034,High,2_forced_hard_seed9_10000000_80.json,2_forced_hard_4_seed9_9020000_80.json,2_incentivized_hard_seed5_10000000_80.json,2_incentivized_hard_4_seed5_9520000_100.json,O1,FALSE,FALSE
H035,High,2_forced_hard_4_seed9_9020000_80.json,2_incentivized_hard_seed5_10000000_80.json,2_incentivized_hard_4_seed5_9520000_100.json,2_forced_hard_seed9_10000000_80.json,O2,FALSE,FALSE
H036,High,2_forced_hard_4_seed9_9020000_80.json,2_incentivized_hard_seed5_10000000_80.json,2_incentivized_hard_4_seed5_9520000_100.json,2_forced_hard_seed9_10000000_80.json,O2,FALSE,FALSE
H037,High,2_incentivized_hard_seed5_10000000_80.json,2_incentivized_hard_4_seed5_9520000_100.json,2_forced_hard_seed9_10000000_80.json,2_forced_hard_4_seed9_9020000_80.json,O3,FALSE,FALSE
H038,High,2_incentivized_hard_seed5_10000000_80.json,2_incentivized_hard_4_seed5_9520000_100.json,2_forced_hard_seed9_10000000_80.json,2_forced_hard_4_seed9_9020000_80.json,O3,FALSE,FALSE
H039,High,2_incentivized_hard_4_seed5_9520000_100.json,2_forced_hard_seed9_10000000_80.json,2_forced_hard_4_seed9_9020000_80.json,2_incentivized_hard_seed5_10000000_80.json,O4,FALSE,FALSE
H040,High,2_incentivized_hard_4_seed5_9520000_100.json,2_forced_hard_seed9_10000000_80.json,2_forced_hard_4_seed9_9020000_80.json,2_incentivized_hard_seed5_10000000_80.json,O4,FALSE,FALSE
H041,High,2_forced_hard_seed12_10000000_80.json,2_forced_hard_4_seed9_9520000_80.json,2_incentivized_hard_seed6_10000000_80.json,2_incentivized_hard_4_seed6_9520000_100.json,O1,FALSE,FALSE
H042,High,2_forced_hard_seed12_10000000_80.json,2_forced_hard_4_seed9_9520000_80.json,2_incentivized_hard_seed6_10000000_80.json,2_incentivized_hard_4_seed6_9520000_100.json,O1,FALSE,FALSE
H043,High,2_forced_hard_4_seed9_9520000_80.json,2_incentivized_hard_seed6_10000000_80.json,2_incentivized_hard_4_seed6_9520000_100.json,2_forced_hard_seed12_10000000_80.json,O2,FALSE,FALSE
H044,High,2_forced_hard_4_seed9_9520000_80.json,2_incentivized_hard_seed6_10000000_80.json,2_incentivized_hard_4_seed6_9520000_100.json,2_forced_hard_seed12_10000000_80.json,O2,FALSE,FALSE
H045,High,2_incentivized_hard_seed6_10000000_80.json,2_incentivized_hard_4_seed6_9520000_100.json,2_forced_hard_seed12_10000000_80.json,2_forced_hard_4_seed9_9520000_80.json,O3,FALSE,FALSE
H046,High,2_incentivized_hard_seed6_10000000_80.json,2_incentivized_hard_4_seed6_9520000_100.json,2_forced_hard_seed12_10000000_80.json,2_forced_hard_4_seed9_9520000_80.json,O3,FALSE,FALSE
